sample_id, sample_time_start, sample_time_end, port_0_rx_bytes, port_0_tx_bytes, port_0_rx_packets, port_0_tx_packets, pcie_link_latency_total_read_packets, pcie_link_latency_total_read_ns, pcie_link_latency_max_read_ns, pcie_link_latency_min_read_ns
204,1284272.260143540,1284272.260180768, 22652510644175, 9567864166922584, 237326735311, 8900272327732, 1068, 668000, 1042, 483
205,1284272.260244340,1284272.260281338, 22652510645175, 9567864168157646, 237326735321, 8900272328873, 1072, 659560, 1010, 483
206,1284272.260345052,1284272.260382112, 22652510645975, 9567864169393954, 237326735331, 8900272330018, 1072, 657525, 992, 482
207,1284272.260446312,1284272.260483408, 22652510646975, 9567864170640514, 237326735341, 8900272331167, 1079, 666671, 1010, 483
208,1284272.260547148,1284272.260584494, 22652510647975, 9567864171878544, 237326735349, 8900272332310, 1071, 665428, 1021, 483
209,1284272.260647366,1284272.260684402, 22652510648975, 9567864173105172, 237326735359, 8900272333444, 1060, 653580, 1003, 487
210,1284272.260747540,1284272.260784622, 22652510649975, 9567864174334772, 237326735369, 8900272334583, 1066, 665014, 998, 485
211,1284272.260847628,1284272.260884614, 22652510650775, 9567864175564948, 237326735379, 8900272335718, 1067, 652783, 1041, 485
212,1284272.260947990,1284272.260985216, 22652510651775, 9567864176796846, 237326735387, 8900272336856, 1073, 663673, 1001, 485
213,1284272.261048748,1284272.261086068, 22652510652775, 9567864178033726, 237326735397, 8900272338000, 1076, 664296, 1012, 487
214,1284272.261149100,1284272.261186110, 22652510653575, 9567864179262656, 237326735407, 8900272339138, 1066, 655800, 992, 483
215,1284272.261249576,1284272.261286680, 22652510654575, 9567864180499058, 237326735417, 8900272340278, 1072, 660560, 1014, 485
216,1284272.261350296,1284272.261387658, 22652510655575, 9567864181735940, 237326735425, 8900272341421, 1076, 664355, 1051, 483
217,1284272.261451848,1284272.261488940, 22652510656575, 9567864182979338, 237326735435, 8900272342570, 1081, 662376, 996, 482
218,1284272.261551926,1284272.261589122, 22652510657375, 9567864184208460, 237326735445, 8900272343708, 1068, 659067, 992, 485
